antecedent,consequent,confidence,lift,support
['5899831'],['5899852'],0.3055555555555556,108.7408424908425,0.0006793268488497761
['5756367'],['5756368'],0.3114754098360656,190.32322919888648,0.0005866913694611703
['5687132'],['5854897'],0.12318840579710146,3.767192182945355,0.0005249343832020997
['5549834'],['5550302'],0.08294930875576037,14.679308000302184,0.000555812876331635
['5549834'],['5686925'],0.12903225806451613,4.208166845336712,0.0008645978076269878
['5549834'],['5854897'],0.10138248847926268,3.100351170350257,0.0006793268488497761
['5836487'],['5836489'],0.47368421052631576,147.50253036437246,0.0008337193144974525
['5836487'],['5836488'],0.47368421052631576,136.96663533834587,0.0008337193144974525
['5745314'],['5808567'],0.16981132075471697,51.88056247775009,0.000555812876331635
['5745314'],['5745313'],0.6509433962264151,184.91931479642503,0.002130616025937934
['5745314'],['5745320'],0.22641509433962265,122.20754716981132,0.0007410838351088467
['5861105'],['5861104'],0.6666666666666666,469.3478260869565,0.0006793268488497761
['5861105'],['5861102'],0.7575757575757576,462.9073756432247,0.000771962328238382
['5815662'],['5815665'],0.05627705627705628,12.483099092688134,0.0012042612320518759
['5815662'],['5842141'],0.05916305916305916,7.633448888428968,0.0012660182183109464
['5815662'],['5686925'],0.09090909090909091,2.9648448228508655,0.0019453450671607225
['5815662'],['5854897'],0.0836940836940837,2.5594267237326727,0.0017909526015130461
['5815662'],['5809910'],0.08080808080808081,1.3124221148293367,0.0017291956152539756
['5815662'],['5802432'],0.06204906204906205,2.9638036496443574,0.001327775204570017
['5820270'],['5823970'],0.3404255319148936,70.67103109656301,0.0014821676702176934
['5820270'],['5809910'],0.1276595744680851,2.0733477026825153,0.000555812876331635
['5815167'],['5804462'],0.28205128205128205,101.49145299145299,0.0006793268488497761
['5775987'],['5807747'],0.19491525423728814,46.07540517134728,0.0007102053419793114
['5875432'],['5875431'],0.367816091954023,143.5147486497715,0.000988111780145129
['5742957'],['5615144'],0.1346153846153846,21.47546419098143,0.0006484483557202408
['5742957'],['5686925'],0.15384615384615385,5.017429700209156,0.0007410838351088467
['5742957'],['5854897'],0.12179487179487179,3.72457688675819,0.0005866913694611703
['5816166' '5809911' '5809912' '5809910'],['5816170'],0.9032258064516129,59.69585253456221,0.0008645978076269878
['5816166' '5809911' '5809912' '5809910'],['5816178'],0.5483870967741935,88.79758064516129,0.0005249343832020997
['5816166' '5809911' '5809912' '5809910'],['5816172'],0.5806451612903226,68.37888563049854,0.000555812876331635
['5820781'],['5820785'],0.48717948717948717,292.17236467236467,0.0005866913694611703
['5788441'],['5788438'],0.6363636363636364,216.93301435406698,0.0006484483557202408
['5816169' '5809912' '5809910'],['5809911'],0.7567567567567568,59.197023110066596,0.0008645978076269878
['5816169' '5809912' '5809910'],['5816172'],0.5135135135135135,60.47321867321867,0.0005866913694611703
['5816169' '5809912' '5809910'],['5816170'],0.5945945945945946,39.297848869277445,0.0006793268488497761
['5700035' '5686925'],['5700037'],0.34615384615384615,14.030278232405891,0.000555812876331635
['5889300'],['5686925'],0.06267806267806268,2.044138026011138,0.0006793268488497761
['5889300'],['5854897'],0.1452991452991453,4.443354882448367,0.0015748031496062992
['5889300'],['5809912'],0.06552706552706553,2.2769249110450827,0.0007102053419793114
['5889300'],['5809910'],0.1168091168091168,1.897122992910355,0.0012660182183109464
['5889300'],['5712801'],0.07122507122507123,10.297428266178267,0.000771962328238382
['5889300'],['5793703'],0.05698005698005698,6.474733843154896,0.0006175698625907056
